Job_Title,Company_Name,Location,Date,Job_Description,Estimated_Salary
Data Science,Globalmax Solutions,,30+ days ago,"We are looking for a progressive Data Scientist.Check data for errors, inconsistencies, usability and relevance.5+ years experience in the field of practice.",
Consumer Insights Data Scientist,"Jimmy John's Franchise, LLC",,30+ days ago,Collaborate with IT team and external vendors to integrate multiple data sources into a centralized Customer Data Platform.Removes barriers to move faster.,
"Associate, Data Science",JP Morgan Chase,,11 days ago,"Knowledge of modern data mining, quantitative research, and data science techniques (e.g., multiple of:The Data Scientist is an individual contributor that…",
"Internships, Data Strategy/Data Science- Summer 2020",Viacom,,30+ days ago,These teams also help facilitate the acquisition of new data sources with various vendors and streamline data workflow across departments to elevate the utility…,
Intern - Data Science (Summer 2020),MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",20 days ago,"Active pursuit of Data Science, Computer Science, Mathematics or related degree with at least two years completed (and one year remaining).",
Data Science Modeler,Avero,"Boulder, CO 80301",30+ days ago,"As a Data Science Modeler, you will be a key player in building out and deploying ML algorithms within the Avero Data Science team.",
Enterprise Data and Analytics Engineer,Comerica Bank,"Auburn Hills, MI 48326",,"2 years of experience using SQL for analysis, report development and data modeling.Bachelor's Degree in Math, Science or Engineering or High School Diploma or…",
"Head of Data Science, Search",Wayfair,"Boston, MA",,"Wayfair Data Science powers automation & decision support across all Wayfair business units.Work cross-functionally with Wayfair engineering, data science &…",
Product Manager - Spatial Analytics & Data Science,Esri,"Redlands, CA",,"Leverage your discerning mindset to separate data science market trends from science fiction and media hype.Experience with data science, business intelligence…",
Data Scientist,Seen by Indeed,"Washington, DC",,Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies.Get career coaching – Level up with free 1:1 coaching…,
"Senior Analyst, Data Science Integrations",Wayfair,"Boston, MA",,"Senior Analyst, Data Science Integrations.The team focuses on optimizing Wayfair s merchandising processes by defining a problem, building enablement of data…",
Data Scientist,DISYS,"Auburn Hills, MI",3 days ago,"Data Science: 3 years (Required).2+ years of experience in big data streaming frameworks, data processing and real-time ingestion patterns.",$65 an hour
Intern - Data Science (Summer 2020),MedPro Group,"Fort Wayne, IN 46815 (Maplewood Park area)",,"Active pursuit of Data Science, Computer Science, Mathematics or related degree with at least two years completed (and one year remaining).",
Data Scientist,University of Michigan,,12 days ago,"A bachelor's in data science, statistics, informatics, econometrics, other science or social science field directly related to this position.","$62,000 - $67,000 a year"
Data Science Practice Lead,Spotify,,1 day ago,"You have (ideally) 4+ years experience with data modeling in a variety of contexts (e.g. web sites, applications, financial) and ideally in variety of use cases…",
Data Scientist and Visualization Specialist,Apple,,30+ days ago,"Our datasets include human anthropometric and biometric data, acoustic data, and inertial motion unit data (accelerometers, gyroscopes, altimeters).",
